#----------------------------------------------------------------------------
# ACTION ROLE DEFINITION & ACTION DEFINITION
#
# NOTES: you should use only partial description as                            
#        as the program will make the description of
#        an ACTION as class.description 
#        example: Access.New
#
#        For an action role the program will make the 
#        description as program.role.class.description
#        example: PROGRAM01.ADMIN.Access.New   
#
#        If there aren't enough programs, you can add another line see New-Access
#                    
#----------------------+--------------------------------------+-----------------------------+-------+------------------+---------------------+---------------------+---------------------+---------------------+---------------------+---------------------+---------------------+---------------------+---------------------+
#                      |                                      |                             |       |                  |   R O L E   N� 1    |   R O L E   N� 2    |   R O L E   N� 3    |   R O L E   N� 4    |   R O L E   N� 5    |   R O L E   N� 6    |   R O L E   N� 7    |   R O L E   N� 8    |   R O L E   N� 9    |   R O L E   N� 10   |
#Description (PARTIAL) |Action Class Model Control            |  icon                       | group |   MenuItem       +---------------------+----------+----------+---------------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
#                      |                                      |                             |       |                  |Role 1            |Program 1 |Role 2    |Program 2 |Role 3    |Program 3 |Role 4    |Program 4 |Role 5    |Program 5 |Role 6    |Program 6 |Role 7    |Program 7 |Role 8    |Program 8 |Role 9    |Program 9 |Role 10   |Program 10|
#----------------------+--------------------------------------+-----------------------------+-------+------------------+------------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
Search                 |openadmin.model.control.Administracion|../resources/icon/search.png |   0   |  default         |ADMIN_CONTROL              |control   |          |          | |   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
#----------------------+--------------------------------------+-----------------------------+-------+------------------+------------------+----------+----------+--------+-------
New                    |openadmin.model.control.ActionViewRole|fa-file-o                    |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Edit                   |openadmin.model.control.ActionViewRole|fa-edit                      |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Delete                 |openadmin.model.control.ActionViewRole|fa-trash-o                   |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Search                 |openadmin.model.control.ActionViewRole|fa-search                    |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
#----------------------+--------------------------------------+-----------------------------+-------+------------------+------------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
New                    |openadmin.model.control.Access        |fa-file-o                    |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Edit                   |openadmin.model.control.Access        |fa-edit                      |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Delete                 |openadmin.model.control.Access        |fa-trash-o                   |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Search                 |openadmin.model.control.Access        |fa-search                    |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
